input_name,ddinter_id,ddinter_name,match_status,notes
Rivaroxaban,DDInter1609,Rivaroxaban,exact,Resolved from existing checkpoint
Warfarin,DDInter1951,Warfarin,exact,Resolved from existing checkpoint
Apixaban,DDInter108,Apixaban,exact,Resolved from existing checkpoint
Clopidogrel,DDInter413,Clopidogrel,exact,Resolved from existing checkpoint
Carbamazepine,DDInter293,Carbamazepine,exact,Resolved from existing checkpoint
Acetylsalicylic acid,DDInter20,Acetylsalicylic acid,exact,Resolved from existing checkpoint
Methotrexate,DDInter1174,Methotrexate,exact,Resolved from existing checkpoint
Phenytoin,DDInter1460,Phenytoin,exact,Resolved from existing checkpoint
Heparin,DDInter856,Heparin,exact,Resolved from existing checkpoint
Tacrolimus,DDInter1735,Tacrolimus,exact,Resolved from existing checkpoint
Amiodarone,DDInter76,Amiodarone,exact,Resolved from existing checkpoint
Metformin,DDInter1164,Metformin,exact,Resolved from existing checkpoint
Fluconazole,DDInter743,Fluconazole,exact,Resolved from existing checkpoint
Rifampicin,DDInter1590,Rifampicin,exact,Resolved from existing checkpoint
Cyclosporine,DDInter458,Cyclosporine,exact,Resolved from existing checkpoint
Valproic acid,DDInter1913,Valproic acid,exact,Resolved from existing checkpoint
Ticagrelor,DDInter1802,Ticagrelor,exact,Resolved from existing checkpoint
Itraconazole,DDInter995,Itraconazole,exact,Resolved from existing checkpoint
Clarithromycin,DDInter393,Clarithromycin,exact,Resolved from existing checkpoint
Digoxin,DDInter554,Digoxin,exact,Resolved from existing checkpoint
Fluoxetine,DDInter758,Fluoxetine,exact,Resolved from existing checkpoint
Theophylline,DDInter1791,Theophylline,exact,Resolved from existing checkpoint
Hydrochlorothiazide,DDInter883,Hydrochlorothiazide,exact,Resolved from existing checkpoint
Amlodipine,DDInter79,Amlodipine,exact,Resolved from existing checkpoint
Rosuvastatin,DDInter1622,Rosuvastatin,exact,Resolved from existing checkpoint
Valsartan,DDInter1915,Valsartan,exact,Resolved from existing checkpoint
Atorvastatin,DDInter133,Atorvastatin,exact,Resolved from existing checkpoint
Ritonavir,DDInter1607,Ritonavir,exact,Resolved from existing checkpoint
Amoxicillin,DDInter83,Amoxicillin,exact,Resolved from existing checkpoint
Simvastatin,DDInter1675,Simvastatin,exact,Resolved from existing checkpoint
Acetaminophen,DDInter14,Acetaminophen,exact,Resolved from existing checkpoint
Bisoprolol,DDInter216,Bisoprolol,exact,Resolved from existing checkpoint
Olanzapine,DDInter1326,Olanzapine,exact,Resolved from existing checkpoint
Quetiapine,DDInter1553,Quetiapine,exact,Resolved from existing checkpoint
Aripiprazole,DDInter118,Aripiprazole,exact,Resolved from existing checkpoint
Ramipril,DDInter1565,Ramipril,exact,Resolved from existing checkpoint
Escitalopram,DDInter672,Escitalopram,exact,Resolved from existing checkpoint
Risperidone,DDInter1605,Risperidone,exact,Resolved from existing checkpoint
Losartan,DDInter1095,Losartan,exact,Resolved from existing checkpoint
Venlafaxine,DDInter1927,Venlafaxine,exact,Resolved from existing checkpoint
Empagliflozin,DDInter636,Empagliflozin,exact,Resolved from existing checkpoint
Azithromycin,DDInter157,Azithromycin,exact,Resolved from existing checkpoint
Ceftriaxone,DDInter334,Ceftriaxone,exact,Resolved from existing checkpoint
Furosemide,DDInter790,Furosemide,exact,Resolved from existing checkpoint
Glimepiride,DDInter825,Glimepiride,exact,Resolved from existing checkpoint
Levofloxacin,DDInter1055,Levofloxacin,exact,Resolved from existing checkpoint
Ciprofloxacin,DDInter384,Ciprofloxacin,exact,Resolved from existing checkpoint
Carvedilol,DDInter305,Carvedilol,exact,Resolved from existing checkpoint
Duloxetine,DDInter608,Duloxetine,exact,Resolved from existing checkpoint
Omeprazole,DDInter1340,Omeprazole,exact,Resolved from existing checkpoint
Metronidazole,DDInter1202,Metronidazole,exact,Resolved from existing checkpoint
Ibuprofen,DDInter900,Ibuprofen,exact,Resolved from existing checkpoint
Enalapril,DDInter638,Enalapril,exact,Resolved from existing checkpoint
Spironolactone,DDInter1707,Spironolactone,exact,Resolved from existing checkpoint
Dapagliflozin,DDInter474,Dapagliflozin,exact,Resolved from existing checkpoint
Lamotrigine,DDInter1020,Lamotrigine,exact,Resolved from existing checkpoint
Dexamethasone,DDInter513,Dexamethasone,exact,Resolved from existing checkpoint
